wls,pitcher,innings,at_bats,hits,strikeouts,walks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
W,高　橋,7,30,5,4,5,3,3,大城,2021/04/28,ヤクルト,1,2021RS
,高　梨,0.1,3,1,0,1,0,0,炭谷,2021/04/28,ヤクルト,0,2021RS
,桜　井,0.2,2,0,0,0,0,0,炭谷,2021/04/28,ヤクルト,0,2021RS
,中　川,1,3,0,0,0,0,0,炭谷,2021/04/28,ヤクルト,0,2021RS
L,菅　野,7,30,8,6,1,3,3,大城,2021/04/30,中日,1,2021RS
,鍵　谷,1,3,1,1,0,0,0,大城,2021/04/30,中日,0,2021RS
,中　川,1,3,0,1,0,0,0,大城,2021/04/30,中日,0,2021RS
L,今　村,4.2,23,7,6,2,4,4,大城,2021/05/01,中日,1,2021RS
,田中豊,0.1,2,0,0,1,0,0,大城,2021/05/01,中日,0,2021RS
,大　江,0.1,5,2,0,2,3,3,大城,2021/05/01,中日,0,2021RS
,野　上,0.2,3,0,0,1,0,0,大城,2021/05/01,中日,0,2021RS
,桜　井,1,3,0,0,0,0,0,大城,2021/05/01,中日,0,2021RS
,高　梨,1,5,1,1,1,0,0,大城,2021/05/01,中日,0,2021RS
,ビエイラ,1,6,3,2,0,2,2,大城,2021/05/01,中日,0,2021RS
,畠,5.2,24,7,7,1,2,0,大城,2021/05/03,広島,1,2021RS
W,鍵　谷,1.1,4,0,0,0,0,0,大城,2021/05/03,広島,0,2021RS
,中　川,1,4,0,1,1,0,0,大城,2021/05/03,広島,0,2021RS
,中　川,0.1,1,0,0,0,0,0,炭谷,2021/05/03,広島,0,2021RS
,ビエイラ,0,2,2,0,0,0,0,炭谷,2021/05/03,広島,0,2021RS
,桜　井,0.1,2,0,1,1,0,0,炭谷,2021/05/03,広島,0,2021RS
S,高　梨,0.1,1,0,0,0,0,0,炭谷,2021/05/03,広島,0,2021RS
,高　橋,7,28,5,5,2,1,1,炭谷,2021/05/04,広島,1,2021RS
,中　川,1,4,1,1,0,0,0,炭谷,2021/05/04,広島,0,2021RS
,鍵　谷,1,3,0,1,0,0,0,炭谷,2021/05/04,広島,0,2021RS
W,サンチェス,7,26,6,2,0,0,0,炭谷,2021/05/05,広島,1,2021RS
,高　梨,0.1,2,1,0,0,0,0,炭谷,2021/05/05,広島,0,2021RS
,桜　井,0.2,2,0,1,0,0,0,炭谷,2021/05/05,広島,0,2021RS
,大　江,0.2,2,0,0,0,0,0,大城,2021/05/05,広島,0,2021RS
,鍵　谷,0.1,1,0,0,0,0,0,大城,2021/05/05,広島,0,2021RS
,菅　野,4,14,2,3,0,0,0,大城,2021/05/07,ヤクルト,1,2021RS
,野　上,3,11,2,3,1,1,1,大城,2021/05/07,ヤクルト,0,2021RS
L,中　川,0.2,6,3,1,1,4,4,炭谷,2021/05/07,ヤクルト,0,2021RS
,桜　井,0,1,1,0,0,0,0,炭谷,2021/05/07,ヤクルト,0,2021RS
,大　江,0.1,1,1,0,0,0,0,炭谷,2021/05/07,ヤクルト,0,2021RS
,井　納,1,4,1,1,0,1,1,炭谷,2021/05/07,ヤクルト,0,2021RS
,今　村,5.2,27,6,4,4,1,1,大城,2021/05/09,ヤクルト,1,2021RS
,田中豊,0.2,5,2,1,1,3,2,大城,2021/05/09,ヤクルト,0,2021RS
,大　江,0,1,0,0,0,1,0,大城,2021/05/09,ヤクルト,0,2021RS
,桜　井,0,2,1,0,1,0,0,大城,2021/05/09,ヤクルト,0,2021RS
,戸　根,0.2,2,0,0,0,0,0,大城,2021/05/09,ヤクルト,0,2021RS
,井　納,1,4,1,3,0,0,0,大城,2021/05/09,ヤクルト,0,2021RS
W,高　梨,1,3,0,2,0,0,0,大城,2021/05/09,ヤクルト,0,2021RS
,戸　郷,6,27,5,2,5,2,2,大城,2021/05/11,横浜,1,2021RS
,野　上,1,5,1,0,1,0,0,大城,2021/05/11,横浜,0,2021RS
W,鍵　谷,1,3,0,2,0,0,0,大城,2021/05/11,横浜,0,2021RS
S,中　川,1,3,0,1,0,0,0,大城,2021/05/11,横浜,0,2021RS
,高　橋,5.2,24,4,3,3,2,2,大城,2021/05/12,横浜,1,2021RS
,野　上,1.1,4,0,1,0,0,0,大城,2021/05/12,横浜,0,2021RS
,鍵　谷,0.1,2,0,0,1,1,1,炭谷,2021/05/12,横浜,0,2021RS
,高　梨,0.1,2,1,1,0,1,1,炭谷,2021/05/12,横浜,0,2021RS
,井　納,0.1,2,1,0,0,1,1,炭谷,2021/05/12,横浜,0,2021RS
,中　川,1,4,1,2,0,0,0,炭谷,2021/05/12,横浜,0,2021RS
L,畠,7,28,6,5,1,2,2,大城,2021/05/14,阪神,1,2021RS
,高　梨,1,5,1,2,1,0,0,岸田,2021/05/14,阪神,0,2021RS
,鍵　谷,1,3,0,0,0,0,0,岸田,2021/05/14,阪神,0,2021RS
W,サンチェス,6.1,27,7,5,2,3,3,炭谷,2021/05/15,阪神,1,2021RS
,高　梨,0.2,2,0,1,0,0,0,炭谷,2021/05/15,阪神,0,2021RS
,中　川,1,4,1,2,0,0,0,炭谷,2021/05/15,阪神,0,2021RS
,鍵　谷,0.1,4,1,0,2,0,0,炭谷,2021/05/15,阪神,0,2021RS
,大　江,0.1,1,0,1,0,0,0,炭谷,2021/05/15,阪神,0,2021RS
S,野　上,0.1,1,0,0,0,0,0,炭谷,2021/05/15,阪神,0,2021RS
,今　村,3,13,5,2,1,2,1,大城,2021/05/16,阪神,1,2021RS
L,平　内,0.2,6,3,0,1,4,4,大城,2021/05/16,阪神,0,2021RS
,戸　根,1.1,6,1,3,1,0,0,大城,2021/05/16,阪神,0,2021RS
,田中豊,1,3,0,0,0,0,0,大城,2021/05/16,阪神,0,2021RS
,野　上,1,3,0,2,0,0,0,大城,2021/05/16,阪神,0,2021RS
,鍵　谷,1,3,0,0,0,0,0,炭谷,2021/05/16,阪神,0,2021RS
,中　川,1,3,0,1,0,0,0,炭谷,2021/05/16,阪神,0,2021RS
W,戸　郷,6,24,4,6,2,2,2,炭谷,2021/05/18,広島,1,2021RS
,野　上,0,1,1,0,0,0,0,炭谷,2021/05/18,広島,0,2021RS
,高　梨,1,4,0,1,1,0,0,炭谷,2021/05/18,広島,0,2021RS
,大　江,1,3,0,2,0,0,0,炭谷,2021/05/18,広島,0,2021RS
,ビエイラ,0.1,4,1,0,2,0,0,炭谷,2021/05/18,広島,0,2021RS
S,戸　根,0.2,2,0,0,0,0,0,炭谷,2021/05/18,広島,0,2021RS
L,高　橋,5.1,27,5,5,5,5,5,炭谷,2021/05/19,広島,1,2021RS
,大　江,0,2,2,0,0,2,2,炭谷,2021/05/19,広島,0,2021RS
,田中豊,0,1,0,0,1,1,1,炭谷,2021/05/19,広島,0,2021RS
,井　納,0.2,4,2,0,0,2,2,炭谷,2021/05/19,広島,0,2021RS
,井　納,1,5,1,1,1,0,0,大城,2021/05/19,広島,0,2021RS
,ビエイラ,2,8,1,4,1,0,0,大城,2021/05/19,広島,0,2021RS
,畠,6.1,28,7,7,3,1,1,炭谷,2021/05/21,中日,1,2021RS
,高　梨,0.1,1,0,1,0,0,0,炭谷,2021/05/21,中日,0,2021RS
,鍵　谷,0.1,1,0,1,0,0,0,炭谷,2021/05/21,中日,0,2021RS
,中　川,1,3,0,2,0,0,0,岸田,2021/05/21,中日,0,2021RS
,デラロサ,0.1,2,1,0,0,0,0,岸田,2021/05/21,中日,0,2021RS
,大　江,0.1,3,0,0,2,0,0,岸田,2021/05/21,中日,0,2021RS
,桜　井,0.1,1,0,0,0,0,0,岸田,2021/05/21,中日,0,2021RS
W,サンチェス,7,27,8,5,1,2,2,炭谷,2021/05/22,中日,1,2021RS
,戸　根,0.2,4,1,0,1,2,2,炭谷,2021/05/22,中日,0,2021RS
,中　川,0.1,3,1,0,1,0,0,炭谷,2021/05/22,中日,0,2021RS
,デラロサ,0.1,2,0,0,1,0,0,炭谷,2021/05/22,中日,0,2021RS
,高　梨,0.1,1,0,1,0,0,0,炭谷,2021/05/22,中日,0,2021RS
S,鍵　谷,0.1,1,0,0,0,0,0,炭谷,2021/05/22,中日,0,2021RS
L,今　村,1,7,3,0,1,3,3,炭谷,2021/05/23,中日,1,2021RS
,桜　井,1,3,1,0,0,0,0,炭谷,2021/05/23,中日,0,2021RS
,桜　井,1,5,1,1,1,0,0,大城,2021/05/23,中日,0,2021RS
,戸　根,2,9,2,5,1,0,0,大城,2021/05/23,中日,0,2021RS
,大　江,1,3,0,1,0,0,0,大城,2021/05/23,中日,0,2021RS
,沼　田,1,6,2,1,1,1,1,大城,2021/05/23,中日,0,2021RS
,ビエイラ,1,3,0,0,0,0,0,大城,2021/05/23,中日,0,2021RS
W,戸　郷,5,21,6,4,3,4,4,大城,2021/05/25,楽天,1,2021RS
,大　江,1,4,0,1,1,0,0,大城,2021/05/25,楽天,0,2021RS
,鍵　谷,1,3,0,1,0,0,0,大城,2021/05/25,楽天,0,2021RS
,中　川,1,6,2,1,1,0,0,大城,2021/05/25,楽天,0,2021RS
,デラロサ,1,4,0,0,1,0,0,炭谷,2021/05/25,楽天,0,2021RS
W,高　橋,7.1,29,7,5,2,2,1,大城,2021/05/26,楽天,1,2021RS
,鍵　谷,0,1,0,0,1,0,0,大城,2021/05/26,楽天,0,2021RS
,高　梨,0.2,2,0,0,0,0,0,大城,2021/05/26,楽天,0,2021RS
S,デラロサ,1,3,0,1,0,0,0,大城,2021/05/26,楽天,0,2021RS
L,横　川,5,22,4,6,1,2,1,大城,2021/05/27,楽天,1,2021RS
,大　江,1,4,1,0,0,0,0,大城,2021/05/27,楽天,0,2021RS
,ビエイラ,2,6,0,4,0,0,0,大城,2021/05/27,楽天,0,2021RS
,桜　井,1,3,0,1,0,0,0,岸田,2021/05/27,楽天,0,2021RS
L,畠,3,14,5,2,0,5,5,大城,2021/05/28,ソフトバンク,1,2021RS
,桜　井,1.2,11,5,2,1,4,4,岸田,2021/05/28,ソフトバンク,0,2021RS
,戸　根,2.1,9,1,3,1,0,0,岸田,2021/05/28,ソフトバンク,0,2021RS
,ビエイラ,1,3,0,2,0,0,0,岸田,2021/05/28,ソフトバンク,0,2021RS
L,サンチェス,4.2,23,7,3,2,7,7,炭谷,2021/05/29,ソフトバンク,1,2021RS
,沼　田,1.1,5,1,2,0,1,1,炭谷,2021/05/29,ソフトバンク,0,2021RS
,大　江,1,3,0,0,0,0,0,岸田,2021/05/29,ソフトバンク,0,2021RS
,桜　井,1,3,0,0,1,0,0,岸田,2021/05/29,ソフトバンク,0,2021RS
W,戸　郷,5,24,7,5,2,2,2,炭谷,2021/05/30,ソフトバンク,1,2021RS
,鍵　谷,0.1,3,2,0,0,0,0,炭谷,2021/05/30,ソフトバンク,0,2021RS
,大　江,0.2,2,0,0,0,0,0,炭谷,2021/05/30,ソフトバンク,0,2021RS
,高　梨,0.2,3,0,0,1,0,0,炭谷,2021/05/30,ソフトバンク,0,2021RS
,ビエイラ,0.1,1,0,0,0,0,0,炭谷,2021/05/30,ソフトバンク,0,2021RS
,中　川,1.2,9,3,2,1,1,1,炭谷,2021/05/30,ソフトバンク,0,2021RS
S,デラロサ,0.1,1,0,1,0,0,0,炭谷,2021/05/30,ソフトバンク,0,2021RS
,高　橋,3.1,16,3,3,3,0,0,大城,2021/06/01,西武,1,2021RS
,畠,1.2,5,0,4,0,0,0,大城,2021/06/01,西武,0,2021RS
,ビエイラ,1,3,0,1,0,0,0,大城,2021/06/01,西武,0,2021RS
,鍵　谷,1,4,1,1,0,1,1,大城,2021/06/01,西武,0,2021RS
,高　梨,0.2,4,0,1,2,0,0,大城,2021/06/01,西武,0,2021RS
,中　川,0.1,1,0,1,0,0,0,大城,2021/06/01,西武,0,2021RS
,デラロサ,1,6,3,1,0,3,3,大城,2021/06/01,西武,0,2021RS
