wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
,辻 大雅,1,13,4,0,0,0,1,0,0,0,0,坂倉,2026/04/03,阪神,0,2026RS
,赤木 晴哉,1,17,5,2,0,1,0,0,0,0,0,坂倉,2026/04/03,阪神,0,2026RS
,ターノック,5,93,21,6,0,3,1,0,1,2,2,坂倉,2026/04/04,阪神,1,2026RS
H,島内 颯太郎,1,25,4,1,0,1,1,0,0,0,0,坂倉,2026/04/04,阪神,0,2026RS
H,ハーン,1,19,4,0,0,1,1,0,0,0,0,坂倉,2026/04/04,阪神,0,2026RS
H,中崎 翔太,1,13,3,0,0,0,0,0,0,0,0,坂倉,2026/04/04,阪神,0,2026RS
,森浦 大輔,1,34,7,2,0,2,0,1,0,3,0,石原,2026/04/04,阪神,0,2026RS
L,辻 大雅,1,17,5,2,1,1,0,0,0,2,2,石原,2026/04/04,阪神,0,2026RS
,栗林 良吏,8,100,29,5,0,9,0,0,0,1,1,坂倉,2026/04/05,阪神,1,2026RS
W,中崎 翔太,1,18,3,0,0,0,0,0,0,0,0,坂倉,2026/04/05,阪神,0,2026RS
W,森下 暢仁,6.1,101,26,6,0,4,3,0,0,2,2,坂倉,2026/04/07,巨人,1,2026RS
H,ハーン,0.2,7,2,0,0,1,0,0,0,0,0,坂倉,2026/04/07,巨人,0,2026RS
H,森浦 大輔,1,15,3,1,0,1,0,0,0,0,0,坂倉,2026/04/07,巨人,0,2026RS
S,中崎 翔太,1,10,3,0,0,1,0,0,0,0,0,坂倉,2026/04/07,巨人,0,2026RS
,森 翔平,7,80,25,6,0,3,0,0,0,0,0,坂倉,2026/04/08,巨人,1,2026RS
H,ハーン,1,12,3,0,0,1,0,0,0,0,0,坂倉,2026/04/08,巨人,0,2026RS
L,中崎 翔太,1,17,5,2,1,1,0,0,0,2,2,坂倉,2026/04/08,巨人,0,2026RS
L,ターノック,4,71,22,9,0,6,1,0,0,4,4,坂倉,2026/04/11,DeNA,1,2026RS
,岡本 駿,2,32,6,1,0,2,0,0,0,0,0,坂倉,2026/04/11,DeNA,0,2026RS
,高 太一,1,7,3,0,0,0,0,0,0,0,0,坂倉,2026/04/11,DeNA,0,2026RS
,島内 颯太郎,1,10,3,0,0,1,0,0,0,0,0,坂倉,2026/04/11,DeNA,0,2026RS
,床田 寛樹,6.2,65,25,7,2,2,0,0,0,4,4,坂倉,2026/04/12,DeNA,1,2026RS
L,森浦 大輔,0.1,8,3,2,1,1,0,0,0,2,2,坂倉,2026/04/12,DeNA,0,2026RS
,齊藤 汰直,1,9,3,0,0,1,0,0,0,0,0,坂倉,2026/04/12,DeNA,0,2026RS
L,森下 暢仁,4,79,18,7,0,3,1,0,0,4,4,坂倉,2026/04/14,中日,1,2026RS
,赤木 晴哉,2,36,10,4,0,1,0,0,0,2,2,坂倉,2026/04/14,中日,0,2026RS
,鈴木 健矢,1,11,3,0,0,0,1,0,0,0,0,坂倉,2026/04/14,中日,0,2026RS
,森浦 大輔,1,19,4,1,0,1,0,0,0,0,0,坂倉,2026/04/14,中日,0,2026RS
W,栗林 良吏,6.1,97,27,5,0,6,2,1,0,2,2,坂倉,2026/04/15,中日,1,2026RS
H,齊藤 汰直,0.2,6,2,0,0,0,0,0,0,0,0,坂倉,2026/04/15,中日,0,2026RS
H,ハーン,1,9,3,0,0,1,0,0,0,0,0,坂倉,2026/04/15,中日,0,2026RS
S,中崎 翔太,1,15,3,0,0,0,1,0,0,0,0,坂倉,2026/04/15,中日,0,2026RS
,岡本 駿,5,92,22,5,0,6,4,0,0,1,1,坂倉,2026/04/17,DeNA,1,2026RS
L,島内 颯太郎,0.2,17,6,1,0,0,2,1,0,3,3,坂倉,2026/04/17,DeNA,0,2026RS
,塹江 敦哉,0.1,6,1,1,0,0,0,0,0,0,0,坂倉,2026/04/17,DeNA,0,2026RS
,森浦 大輔,1,22,5,1,0,3,1,0,0,1,1,坂倉,2026/04/17,DeNA,0,2026RS
,鈴木 健矢,2,37,6,0,0,0,2,0,0,0,0,持丸,2026/04/17,DeNA,0,2026RS
L,ターノック,6.0,111,27,5,0,6,3,1,0,5,5,坂倉,2026/04/18,DeNA,1,2026RS
,齊藤 汰直,0.1,13,5,4,0,0,0,0,0,2,2,坂倉,2026/04/18,DeNA,0,2026RS
,塹江 敦哉,0.2,5,2,0,0,1,0,0,0,0,0,坂倉,2026/04/18,DeNA,0,2026RS
,赤木 晴哉,1,10,3,0,0,0,0,0,0,0,0,坂倉,2026/04/18,DeNA,0,2026RS
,遠藤 淳志,1,13,3,0,0,0,0,0,0,0,0,坂倉,2026/04/18,DeNA,0,2026RS
L,床田 寛樹,8,105,31,6,0,2,1,1,0,2,2,持丸,2026/04/19,DeNA,1,2026RS
,高 太一,1,19,3,1,0,0,0,0,0,0,0,持丸,2026/04/19,DeNA,0,2026RS
W,森下 暢仁,7,106,27,4,0,3,2,0,0,1,1,持丸,2026/04/21,ヤクルト,1,2026RS
H,ハーン,1,15,4,0,0,2,1,0,0,0,0,持丸,2026/04/21,ヤクルト,0,2026RS
S,中崎 翔太,1,16,3,0,0,3,0,0,0,0,0,持丸,2026/04/21,ヤクルト,0,2026RS
L,大瀬良 大地,5,85,21,6,0,4,1,0,0,2,2,持丸,2026/04/22,ヤクルト,1,2026RS
,齊藤 汰直,1,18,5,1,0,1,1,0,0,0,0,持丸,2026/04/22,ヤクルト,0,2026RS
,高 太一,1,15,3,0,0,2,0,0,0,0,0,持丸,2026/04/22,ヤクルト,0,2026RS
,森浦 大輔,1,13,3,0,0,2,0,0,0,0,0,持丸,2026/04/22,ヤクルト,0,2026RS
,鈴木 健矢,0.2,17,4,2,0,0,0,0,0,0,0,持丸,2026/04/22,ヤクルト,0,2026RS
,塹江 敦哉,0.1,8,1,0,0,0,0,0,0,0,0,持丸,2026/04/22,ヤクルト,0,2026RS
L,岡本 駿,5,71,21,5,1,3,1,0,0,2,2,持丸,2026/04/23,ヤクルト,1,2026RS
,鈴木 健矢,1,9,4,2,0,0,0,0,0,0,0,持丸,2026/04/23,ヤクルト,0,2026RS
,高 太一,1,14,3,0,0,2,0,0,0,0,0,持丸,2026/04/23,ヤクルト,0,2026RS
,齊藤 汰直,1,13,4,1,0,0,0,0,0,0,0,持丸,2026/04/23,ヤクルト,0,2026RS
,遠藤 淳志,0.2,8,3,1,0,1,0,0,0,0,0,持丸,2026/04/23,ヤクルト,0,2026RS
,塹江 敦哉,0.1,6,1,0,0,1,0,0,0,0,0,持丸,2026/04/23,ヤクルト,0,2026RS
,ターノック,6,106,25,3,0,6,3,1,0,1,1,持丸,2026/04/25,阪神,1,2026RS
H,高 太一,1,17,4,1,0,0,0,0,0,0,0,持丸,2026/04/25,阪神,0,2026RS
,中崎 翔太,1,26,7,1,0,1,3,0,0,1,1,持丸,2026/04/25,阪神,0,2026RS
H,ハーン,1,23,5,2,0,1,0,0,0,0,0,坂倉,2026/04/25,阪神,0,2026RS
H,森浦 大輔,1,15,4,1,0,1,0,0,0,0,0,坂倉,2026/04/25,阪神,0,2026RS
,齊藤 汰直,1,5,3,1,0,0,0,0,0,0,0,坂倉,2026/04/25,阪神,0,2026RS
,齊藤 汰直,1,28,5,1,0,1,1,0,0,0,0,石原,2026/04/25,阪神,0,2026RS
L,栗林 良吏,7,86,25,2,1,4,2,0,0,1,1,持丸,2026/04/26,阪神,1,2026RS
,高 太一,1,16,4,0,0,2,0,1,0,0,0,石原,2026/04/26,阪神,0,2026RS
W,床田 寛樹,8,118,28,3,1,5,2,0,0,1,1,持丸,2026/04/28,巨人,1,2026RS
,鈴木 健矢,1,19,4,0,0,0,1,0,0,0,0,持丸,2026/04/28,巨人,0,2026RS
L,森下 暢仁,4,67,18,6,0,3,0,0,0,4,4,持丸,2026/04/29,巨人,1,2026RS
,遠藤 淳志,1.2,38,7,2,0,3,0,0,0,0,0,持丸,2026/04/29,巨人,0,2026RS
,塹江 敦哉,1.1,28,7,0,0,3,2,1,0,0,0,持丸,2026/04/29,巨人,0,2026RS
,常廣 羽也斗,1,27,4,0,0,2,1,0,0,0,0,持丸,2026/04/29,巨人,0,2026RS
,玉村 昇悟,5,87,21,6,0,5,0,0,1,1,1,持丸,2026/04/30,巨人,1,2026RS
,高 太一,1,15,3,0,0,1,0,0,0,0,0,石原,2026/04/30,巨人,0,2026RS
W,森浦 大輔,1,17,4,1,1,0,0,0,0,1,1,石原,2026/04/30,巨人,0,2026RS
H,ハーン,1,12,3,0,0,2,0,0,0,0,0,坂倉,2026/04/30,巨人,0,2026RS
S,中崎 翔太,1,14,4,1,0,0,0,0,0,0,0,坂倉,2026/04/30,巨人,0,2026RS
W,岡本 駿,5.1,93,27,6,0,4,5,0,0,1,1,持丸,2026/05/01,中日,1,2026RS
H,高 太一,0.2,9,1,0,0,0,0,0,0,0,0,持丸,2026/05/01,中日,0,2026RS
H,森浦 大輔,1,17,4,0,0,2,1,0,0,0,0,持丸,2026/05/01,中日,0,2026RS
,齊藤 汰直,1,24,5,2,1,1,0,0,0,2,2,持丸,2026/05/01,中日,0,2026RS
,遠藤 淳志,1,13,3,0,0,1,0,0,0,0,0,持丸,2026/05/01,中日,0,2026RS
,ターノック,5,103,21,4,0,5,2,0,0,0,0,持丸,2026/05/02,中日,1,2026RS
H,遠藤 淳志,1,10,3,0,0,1,0,0,0,0,0,持丸,2026/05/02,中日,0,2026RS
L,齊藤 汰直,0.2,20,7,4,0,1,1,0,0,4,4,持丸,2026/05/02,中日,0,2026RS
,塹江 敦哉,0.1,15,2,0,0,0,1,0,0,0,0,持丸,2026/05/02,中日,0,2026RS
,常廣 羽也斗,1,25,6,1,0,0,2,0,0,0,0,坂倉,2026/05/02,中日,0,2026RS
,鈴木 健矢,1,14,5,0,0,0,2,0,0,0,0,坂倉,2026/05/02,中日,0,2026RS
L,大瀬良 大地,2.1,60,16,8,0,0,1,0,0,6,6,持丸,2026/05/04,DeNA,1,2026RS
,辻 大雅,1.2,39,11,5,1,3,1,0,0,5,5,持丸,2026/05/04,DeNA,0,2026RS
,塹江 敦哉,2,36,8,2,0,2,0,0,0,0,0,持丸,2026/05/04,DeNA,0,2026RS
,常廣 羽也斗,1,15,4,0,0,0,1,0,0,0,0,石原,2026/05/04,DeNA,0,2026RS
,鈴木 健矢,1,10,3,1,0,0,0,0,0,0,0,坂倉,2026/05/04,DeNA,0,2026RS
